Tool, Runtime
RefDiff 2.0, 475
RefDiff 2.0, 75
RefDiff 2.0, 185
RefDiff 2.0, 86
RefDiff 2.0, 77
RefDiff 2.0, 286
RefDiff 2.0, 284
RefDiff 2.0, 2573
RefDiff 2.0, 296
RefDiff 2.0, 2233
RefDiff 2.0, 213
RefDiff 2.0, 2167
RefDiff 2.0, 229
RefDiff 2.0, 448
RefDiff 2.0, 304
RefDiff 2.0, 84
RefDiff 2.0, 478
RefDiff 2.0, 100
RefDiff 2.0, 119
RefDiff 2.0, 249
RefDiff 2.0, 60
RefDiff 2.0, 103
RefDiff 2.0, 168
RefDiff 2.0, 238
RefDiff 2.0, 74
RefDiff 2.0, 49
RefDiff 2.0, 107
RefDiff 2.0, 353
RefDiff 2.0, 65
RefDiff 2.0, 192
RefDiff 2.0, 167
RefDiff 2.0, 640
RefDiff 2.0, 2653
RefDiff 2.0, 85
RefDiff 2.0, 83
RefDiff 2.0, 72
RefDiff 2.0, 121
RefDiff 2.0, 55
RefDiff 2.0, 203
RefDiff 2.0, 119
RefDiff 2.0, 143
RefDiff 2.0, 213
RefDiff 2.0, 397
RefDiff 2.0, 57
RefDiff 2.0, 70
RefDiff 2.0, 535
RefDiff 2.0, 67
RefDiff 2.0, 305
RefDiff 2.0, 490
RefDiff 2.0, 250
RefDiff 2.0, 94
RefDiff 2.0, 76
RefDiff 2.0, 187
RefDiff 2.0, 2605
RefDiff 2.0, 123
RefDiff 2.0, 187
RefDiff 2.0, 205
RefDiff 2.0, 4669
RefDiff 2.0, 461
RefDiff 2.0, 649
RefDiff 2.0, 191
RefDiff 2.0, 768
RefDiff 2.0, 110
RefDiff 2.0, 88
RefDiff 2.0, 167
RefDiff 2.0, 447
RefDiff 2.0, 123
RefDiff 2.0, 236
RefDiff 2.0, 68
RefDiff 2.0, 150
RefDiff 2.0, 373
RefDiff 2.0, 59
RefDiff 2.0, 123
RefDiff 2.0, 768
RefDiff 2.0, 1679
RefDiff 2.0, 152
RefDiff 2.0, 150
RefDiff 2.0, 57
RefDiff 2.0, 163
RefDiff 2.0, 253
RefDiff 2.0, 190
RefDiff 2.0, 172
RefDiff 2.0, 117
RefDiff 2.0, 182
RefDiff 2.0, 142
RefDiff 2.0, 375
RefDiff 2.0, 96
RefDiff 2.0, 864
RefDiff 2.0, 63
RefDiff 2.0, 71
RefDiff 2.0, 255
RefDiff 2.0, 110
RefDiff 2.0, 369
RefDiff 2.0, 848
RefDiff 2.0, 94
RefDiff 2.0, 123
RefDiff 2.0, 235
RefDiff 2.0, 135
RefDiff 2.0, 217
RefDiff 2.0, 93
RefDiff 2.0, 52
RefDiff 2.0, 86
RefDiff 2.0, 123
RefDiff 2.0, 617
RefDiff 2.0, 67
RefDiff 2.0, 294
RefDiff 2.0, 41
RefDiff 2.0, 53
RefDiff 2.0, 1872
RefDiff 2.0, 93
RefDiff 2.0, 45
RefDiff 2.0, 152
RefDiff 2.0, 64
RefDiff 2.0, 128
RefDiff 2.0, 533
RefDiff 2.0, 56
RefDiff 2.0, 114
RefDiff 2.0, 74
RefDiff 2.0, 244
RefDiff 2.0, 117
RefDiff 2.0, 86
RefDiff 2.0, 51
RefDiff 2.0, 45
RefDiff 2.0, 673
RefDiff 2.0, 57
RefDiff 2.0, 54
RefDiff 2.0, 82
RefDiff 2.0, 254
RefDiff 2.0, 67
RefDiff 2.0, 53
RefDiff 2.0, 49
RefDiff 2.0, 37
RefDiff 2.0, 46
RefDiff 2.0, 99
RefDiff 2.0, 455
RefDiff 2.0, 46
RefDiff 2.0, 2190
RefDiff 2.0, 2095
RefDiff 2.0, 408
RefDiff 2.0, 180
RefDiff 2.0, 325
RefDiff 2.0, 91
RefDiff 2.0, 321
RefDiff 2.0, 985
RefDiff 2.0, 96
RefDiff 2.0, 1739
RefDiff 2.0, 476
RefDiff 2.0, 239
RefDiff 2.0, 625
RefDiff 2.0, 406
RefDiff 2.0, 989
RefDiff 2.0, 181
RefDiff 2.0, 102
RefDiff 2.0, 665
RefDiff 2.0, 57
RefDiff 2.0, 122
RefDiff 2.0, 62
RefDiff 2.0, 212
RefDiff 2.0, 131
RefDiff 2.0, 116
RefDiff 2.0, 67
RefDiff 2.0, 86
RefDiff 2.0, 120
RefDiff 2.0, 134
RefDiff 2.0, 42
RefDiff 2.0, 61
RefDiff 2.0, 83
RefDiff 2.0, 1352
RefDiff 2.0, 99
RefDiff 2.0, 197
RefDiff 2.0, 158
RefDiff 2.0, 170
RefDiff 2.0, 38
RefDiff 2.0, 134
RefDiff 2.0, 526
